metric,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_unit,stratified_by,model_id,family_version,architecture,encoder_id,anchor_mode,scenario_count
pearson_correlation,0.8209478304518225,0.7962223686590749,0.8445864891971495,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
calibration_slope,0.5811909948263777,0.5597399246724393,0.6034718577403895,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
calibration_intercept,0.2142923098996124,0.20125513877933504,0.22690776432436066,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
endpoint_distance_ratio_mae,0.1596791559052912,0.1576573724540714,0.16161153326640307,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
length_only_cv_mae,0.20357487377575412,0.20199027397295136,0.20526462333271084,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
isotonic_cv_mae,0.12573960692516886,0.12158271237816518,0.12980584032613984,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
endpoint_separation,0.5613217495738547,0.5545606258922019,0.5677122632181458,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
interior_calibration_error,0.18965391375162857,0.18546719245795418,0.1938399673614163,10000,scenario_id,style_axis,qwen36_27b,Qwen3.6,Dense,bge_m3,self,320
median_absolute_error,0.16945786833976967,0.16431043769846682,0.1747491659195857,10000,scenario_id,style_axis,qwen36_27b,Qwen3.6,Dense,bge_m3,self,320
