model_id,encoder_id,method,statistic,estimate,ci_lower,ci_upper,scenario_count,incremental_cost,mean_llm_judge_latency_seconds,total_llm_judge_output_tokens_all_models,human_style_correlation,human_style_mae,human_validation_status
qwen35_4b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,spearman,0.6546461246154837,0.6195988350956579,0.6888784485782949,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_4b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,pearson,0.6321280146009157,0.5974484851438077,0.6652544088804402,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_4b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,calibration_slope,0.38675000000000004,0.35665546875,0.41775078125,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_4b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,calibration_intercept,0.35657291666666663,0.3354373697916666,0.3775739583333333,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,constant_0.5,mae,0.19999999999999998,0.2,0.2,320,deterministic local computation,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,constant_0.5,median_absolute_error,0.16666666666666669,0.16666666666666663,0.16666666666666663,320,deterministic local computation,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,constant_0.5,spearman,,,,320,deterministic local computation,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,constant_0.5,pearson,,,,320,deterministic local computation,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,constant_0.5,calibration_slope,3.2878958044297755e-17,3.287895804429775e-17,3.287895804429775e-17,320,deterministic local computation,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,constant_0.5,calibration_intercept,0.5,0.5,0.5,320,deterministic local computation,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,endpoint_distance_ratio,mae,0.19041872348419905,0.18888398293314632,0.1920024478500773,320,sentence-encoder inference; no LLM request,,0,,,external_pending
